id,title,recordLink,media,freetext,indexedStructured,creditLine,date,notes,physicalDescription,object_type,topic
ld1-1643399134763-1643399189210-0,Good Will Fire Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05170', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05171', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05172', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05174']","{'creditLine': ['Gift of CIGNA Museum and Art Collection'], 'date': ['1810-1860'], 'name': ['Good Will Fire Company', 'unknown'], 'notes': ['Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.', 'This leather hat dates to the first half of the 19th century. The hat is painted blue overall, with a metal band along the brim, and the text “GOOD WILL” painted in gold on the front of the hat. The crown of the hat bears the owner’s initials “C.B.” in gold. The hat is the deviation in style from the traditional Philadelphia-style “stove-pipe” top hat. Though the name was a common one, a label in the hat indicates it was from the Good Will Fire Company, which was founded on March 27, 1802 in Philadelphia, Pennsylvania.', 'Currently not on view'], 'physicalDescription': ['painted (overall production method/technique)', 'leather (overall material)', 'paint (overall material)', 'overall: 4 1/2 in x 11 1/4 in x 11 3/4 in; 11.43 cm x 28.575 cm x 29.845 cm'], 'place': ['United States: Pennsylvania, Philadelphia']}","{'date': ['1860s'], 'object_type': ['Fire hats', 'parade hat'], 'topic': ['Art', 'Fire Hats', 'Clothing and dress', 'Dress accessories', 'Firefighting Collection', 'Fraternal Associations', 'Fire Fighting']}",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189191-0,Junior Fire Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05129', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05130', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05131']","{'creditLine': ['Gift of CIGNA Museum and Art Collection'], 'date': ['1813-1860'], 'name': ['Junior Fire Company'], 'notes': ['Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.', 'This fire hat was used in Reading, Pennsylvania during the first half of the 19th century. The hat is painted red overall, with the “JUNIOR/1813” painted in gold on the front of the hat, and a golden number “2” painted on the back of the hat. The crown of the hat has the word “CAMEL.” painted in gold surrounded by two geometric sunburst patterns. This hat was likely used by a member of the Junior Fire Company that was founded on December 2, 1813 in Reading, Pennsylvania.', 'Currently not on view'], 'physicalDescription': ['painted (overall production method/technique)', 'leather (overall material)', 'paint (overall material)', 'overall: 6 3/4 in x 12 5/16 in x 14 1/4 in; 17.145 cm x 31.242 cm x 36.195 cm']}","{'date': ['1860s'], 'object_type': ['Fire hats'], 'topic': ['Art', 'Fire Hats', 'Clothing and dress', 'Dress accessories', 'Firefighting Collection', 'Fraternal Associations', 'Fire Fighting']}",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189215-0,Schuylkill Hose Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05184', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05185', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05186']","{'creditLine': ['Gift of CIGNA Museum and Art Collection'], 'date': ['1810-1860'], 'name': ['Schuylkill Hose Company', 'unknown'], 'notes': ['Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.', 'This fire hat was used by a member of the Schuylkill Hose Company of Philadelphia, Pennsylvania, organized in 1833 and operated until 1871 when Philadelphia’s paid firefighting department was established. The hat is painted blue overall, and the front of the hat has two red banners above and below a yellow circle with the text painted in gold on them that reads “SCHUYLKILL / HOSE / COMPANY”. The back of the hat has the number “24” painted in gold framed in a cartouche. The crown of the hat has the company’s initials “S.H.C.” painted in gold.', 'Currently not on view'], 'physicalDescription': ['painted (overall production method/technique)', 'paint (overall material)', 'fabric, pressed felt (overall material)', 'overall: 5 3/4 in x 11 3/4 in x 13 in; 14.605 cm x 29.845 cm x 33.02 cm'], 'place': ['United States']}","{'date': ['1860s'], 'object_type': ['Fire hats'], 'topic': ['Art', 'Fire Hats', 'Clothing and dress', 'Dress accessories', 'Firefighting Collection', 'Fraternal Associations', 'Fire Fighting']}",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189250-0,L.G. Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05250', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05251', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05252']","{'creditLine': ['Gift of CIGNA Museum and Art Collection'], 'date': ['1860s'], 'name': ['Hill, James'], 'notes': ['Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.', 'This fire hat dates to the middle of the 19th century. It was originally painted blue, and then varnished, and the varnish has turned hat color dark green. There is a faded red banner on front with illegible gold lettering. There are two fragments of newspaper attached to inside of the hat, dated Aug. 1, 1839 and Aug. 1, 1833. On the top of the hat the initials “L.G.” are painted in gold. The hat was made by James Hill, a Philadelphia hatter, around 1860.', 'Currently not on view'], 'physicalDescription': ['blue (overall color)', 'gold (trim and lettering color)', 'paint (overall material)', 'painted (overall production method/technique)', 'fabric, pressed felt (overall material)', 'overall: 12 3/4 in x 14 1/4 in x 14 1/4 in; 32.385 cm x 36.195 cm x 36.195 cm'], 'place': ['United States']}","{'date': ['1860s'], 'object_type': ['Fire hats'], 'topic': ['Art', 'Fire Hats', 'Clothing and dress', 'Dress accessories', 'Firefighting Collection', 'Fraternal Associations', 'Fire Fighting']}",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",blue (overall color),Fire hats,Art
ld1-1643399134763-1643399189200-0,Norristown Hose Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05149', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05150', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05151']","{'creditLine': ['Gift of CIGNA Museum and Art Collection'], 'date': ['1810-1860'], 'name': ['Norristown Hose Company', 'unknown'], 'notes': ['Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.', 'This fire hat was used in Norristown, Pennsylvania during the first half of the 19th century. The hat is painted brown overall, with golden triangles coming down from the top. The front of the hat reads “NORRISTOWN HOSE” in gold paint. The back of the hat has the date “1847” painted in gold, and the owner’s initials “J.B.T.” in gold script on the crown of the hat. The Norristown Hose Company was organized in 1847 in Norristown, Pennsylvania and operated until 1871 when Philadelphia’s paid firefighting department was established.', 'Currently not on view'], 'physicalDescription': ['painted (overall production method/technique)', 'fabric, pressed felt (overall material)', 'paint (overall material)', 'overall: 5 1/2 in x 12 in x 13 1/2 in; 13.97 cm x 30.48 cm x 34.29 cm'], 'place': ['United States']}","{'date': ['1860s'], 'object_type': ['Fire hats'], 'topic': ['Art', 'Fire Hats', 'Clothing and dress', 'Dress accessories', 'Firefighting Collection', 'Fraternal Associations', 'Fire Fighting']}",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189161-0,Friendship Fire Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05069', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05070']","{'creditLine': ['Gift of CIGNA Museum and Art Collection'], 'date': ['1810-1860'], 'name': ['Friendship Fire Company', 'unknown'], 'notes': ['Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.', 'This fire hat was used in Baltimore, Maryland during the first half of the 19th century. The hat is painted red with the text “FRIENDSHIP/F. Co.” painted in gold on the front and the date “1839” painted in gold on the back. This hat deviates from the stove-pipe style prevalent among other fire hats of the period, as it has a peaked crown. The Friendship Fire Company of Baltimore, Maryland was organized in 1785, and chartered in 1839.', 'Currently not on view'], 'physicalDescription': ['painted (overall production method/technique)', 'fabric, pressed felt (overall material)', 'paint (overall material)', 'overall: 7 1/2 in x 13 1/2 in; 19.05 cm x 34.29 cm'], 'place': ['United States']}","{'date': ['1860s'], 'object_type': ['Fire hats'], 'topic': ['Art', 'Fire Hats', 'Clothing and dress', 'Dress accessories', 'Firefighting Collection', 'Fraternal Associations', 'Fire Fighting']}",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1726829471747-1726829474257-0,Blue draped pillbox hat,https://nmaahc.si.edu/object/nmaahc_2007.3.545,"['https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_545_001', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_545_002', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_545_003']","{'creditLine': ['Collection of the Smithsonian National Museum of African American History and Culture, Gift of the Black Fashion Museum founded by Lois K. Alexander-Lane'], 'date': ['ca.1960'], 'name': ['Unidentified', 'Black Fashion Museum, American, 1979 - 2007'], 'notes': ['A blue and teal pillbox variation style hat. The hat’s crown is made of teal velveteen. The teal velveteen and blue polyester satin are draped across the sides of the hat. Three tucks are placed along each band of fabric. The velveteen and polyester bands cross over each other on the front and back of the hat. Adhesive is placed behind the planels securing them in place. The hat’s interior has a hidden metal wire that wraps around the circumference of the hat along with a Petersham rayon ribbon sweatband. A blue nylon net that is included in the hat’s interior. The hat is machine stitched and unlined.', 'A blue and teal pillbox variation style hat. The hat’s crown is made of teal velveteen. The teal velveteen and blue polyester satin are draped across the sides of the hat in bands that cross over each other at the front and back. Three tucks are placed along each band of fabric. Adhesive is placed behind the planels securing them in place. The hat’s interior has a hidden metal wire that wraps around the circumference of the hat along with a petersham rayon ribbon sweatband. A blue nylon net is included in the hat’s interior. The hat is machine stitched and unlined.'], 'physicalDescription': ['polyester velveteen, satin acetate, nylon net, petersham rayon ribbon, adhesive, and metal wire', 'H x W x D x C: 4 3/4 × 8 1/2 × 9 × 20 3/4 in. (12.1 × 21.6 × 22.9 × 52.7 cm)']}","{'date': ['1960s', '1950s'], 'object_type': ['Hats'], 'topic': ['Millinery', 'Clothing and dress', 'Fashion']}","Collection of the Smithsonian National Museum of African American History and Culture, Gift of the Black Fashion Museum founded by Lois K. Alexander-Lane",1960s,A blue and teal pillbox variation style hat. The hat’s crown is made of teal velveteen. The teal velveteen and blue polyester satin are draped across the sides of the hat. Three tucks are placed along each band of fabric. The velveteen and polyester bands cross over each other on the front and back of the hat. Adhesive is placed behind the planels securing them in place. The hat’s interior has a hidden metal wire that wraps around the circumference of the hat along with a Petersham rayon ribbon sweatband. A blue nylon net that is included in the hat’s interior. The hat is machine stitched and unlined.,"polyester velveteen, satin acetate, nylon net, petersham rayon ribbon, adhesive, and metal wire",Hats,Millinery
ld1-1643399134763-1643399189154-0,Eagle Fire Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05058', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05059', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05060']","{'creditLine': ['Gift of CIGNA Museum and Art Collection'], 'date': ['1835-1845'], 'name': ['Eagle Fire Company', 'unknown'], 'notes': ['Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.', 'This fire hat was used in Trenton, New Jersey during the first half of the 19th century. The hat is painted black overall, with the text “Eagle Fire/Co.” in gold paint with red shadowing on the front of the hat. The back of the hat features a yellow image of a wooden fire hydrant flanked by the date “1821.” The crown of the hat has the owner’s initials “W.D.L.” in gold. This hat likely belonged to a member of the Eagle Fire Company of Trenton, New Jersey that was founded in 1821.', 'Currently not on view'], 'physicalDescription': ['painted (overall production method/technique)', 'fabric, pressed felt (overall material)', 'dark blue (overall color)', 'gold; red (decoration color)', 'paint (overall material)', 'overall: 6 in x 12 1/2 in x 14 in; 15.24 cm x 31.75 cm x 35.56 cm'], 'place': ['United States']}","{'date': ['1840s'], 'object_type': ['Fire hats'], 'topic': ['Art', 'Fire Hats', 'Clothing and dress', 'Dress accessories', 'Firefighting Collection', 'Fraternal Associations', 'Fire Fighting']}",Gift of CIGNA Museum and Art Collection,1840s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189231-0,Washington 1796 Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05214', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05215', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05216']","{'creditLine': ['Gift of CIGNA Museum and Art Collection'], 'date': ['1810-1860', '1796'], 'name': ['unknown'], 'notes': ['Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.', 'This fire hat dates to the first half of the 19th century. The hat is painted brown overall with the text “WASHINGTON / 1796” painted in gold on the front of the hat. The back of the hat has the number “14” painted in gold with stylized lines above and below the number. The owner’s initials “S.J.” are painted on the crown of the hat in gold. A note inside the hat indicates these initials may stand for a volunteer named S.C. Johnson. The Washington Fire Company No. 14 was founded on January 3, 1796 in Philadelphia, Pennsylvania on the west side of Eleventh Street. It operated as a hand engine fire company and acquired a steam fire engine in 1865. It served as a steam fire engine company until 1871 when Philadelphia’s paid firefighting department was established.', 'Currently not on view'], 'physicalDescription': ['painted (overall production method/technique)', 'paint (overall material)', 'fabric, pressed felt (overall material)', 'overall: 6 in x 14 in x 12 in; 15.24 cm x 35.56 cm x 30.48 cm'], 'place': ['United States', 'United States: Pennsylvania, Philadelphia']}","{'date': ['1860s'], 'object_type': ['Fire hats'], 'topic': ['Art', 'Fire Hats', 'Clothing and dress', 'Dress accessories', 'Firefighting Collection', 'Fraternal Associations', 'Fire Fighting']}",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643398738600-1643398747273-0,Green wrap hat made by Vanilla Beane,https://nmaahc.si.edu/object/nmaahc_2013.141.1,"['https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_001', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_002', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_003', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_004', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_005', 'https://3d-api.si.edu/voyager/3d_package:cddb0bd1-c30c-4804-9fb7-8c0efa854628']","{'creditLine': ['Collection of the Smithsonian National Museum of African American History and Culture, Gift of Vanilla Beane'], 'date': ['1950-1969'], 'name': ['Vanilla Beane, American, 1919 - 2022'], 'notes': ['A green velveteen hat with a layered design made by Vanilla Beane. The hat is circular with a rounded peak and constructed by layering a strip of fabric over itself in a wrapped design. The base of the fabric is a light green while the pile is a darker green, giving the hat a two-tone appearance. The interior is supported by a molded buckram form to which the exterior of the hat has been sewn.'], 'physicalDescription': ['velveteen on buckram', '5 1/4 × 7 1/4 × 8 1/4 in. (13.3 × 18.4 × 21 cm)'], 'place': ['Washington, District of Columbia, United States, North and Central America']}","{'date': ['1960s', '1950s'], 'object_type': ['Hats'], 'topic': ['Black Enterprise', 'Millinery', 'Clothing and dress', 'Business']}","Collection of the Smithsonian National Museum of African American History and Culture, Gift of Vanilla Beane",1960s,"A green velveteen hat with a layered design made by Vanilla Beane. The hat is circular with a rounded peak and constructed by layering a strip of fabric over itself in a wrapped design. The base of the fabric is a light green while the pile is a darker green, giving the hat a two-tone appearance. The interior is supported by a molded buckram form to which the exterior of the hat has been sewn.",velveteen on buckram,Hats,Black Enterprise
