id,title,recordLink,media,creditLine,date,notes,physicalDescription,object_type,topic
ld1-1643399134763-1643399189210-0,Good Will Fire Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05170', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05171', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05172', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05174']",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189191-0,Junior Fire Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05129', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05130', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05131']",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189215-0,Schuylkill Hose Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05184', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05185', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05186']",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189250-0,L.G. Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05250', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05251', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05252']",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",blue (overall color),Fire hats,Art
ld1-1643399134763-1643399189200-0,Norristown Hose Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05149', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05150', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05151']",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189161-0,Friendship Fire Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05069', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05070']",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1726829471747-1726829474257-0,Blue draped pillbox hat,https://nmaahc.si.edu/object/nmaahc_2007.3.545,"['https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_545_001', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_545_002', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_545_003']","Collection of the Smithsonian National Museum of African American History and Culture, Gift of the Black Fashion Museum founded by Lois K. Alexander-Lane",1960s,A blue and teal pillbox variation style hat. The hat’s crown is made of teal velveteen. The teal velveteen and blue polyester satin are draped across the sides of the hat. Three tucks are placed along each band of fabric. The velveteen and polyester bands cross over each other on the front and back of the hat. Adhesive is placed behind the planels securing them in place. The hat’s interior has a hidden metal wire that wraps around the circumference of the hat along with a Petersham rayon ribbon sweatband. A blue nylon net that is included in the hat’s interior. The hat is machine stitched and unlined.,"polyester velveteen, satin acetate, nylon net, petersham rayon ribbon, adhesive, and metal wire",Hats,Millinery
ld1-1643399134763-1643399189154-0,Eagle Fire Company Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05058', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05059', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05060']",Gift of CIGNA Museum and Art Collection,1840s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643399134763-1643399189231-0,Washington 1796 Fire Hat,,"['https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05214', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05215', 'https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05216']",Gift of CIGNA Museum and Art Collection,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art
ld1-1643398738600-1643398747273-0,Green wrap hat made by Vanilla Beane,https://nmaahc.si.edu/object/nmaahc_2013.141.1,"['https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_001', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_002', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_003', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_004', 'https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_005', 'https://3d-api.si.edu/voyager/3d_package:cddb0bd1-c30c-4804-9fb7-8c0efa854628']","Collection of the Smithsonian National Museum of African American History and Culture, Gift of Vanilla Beane",1960s,"A green velveteen hat with a layered design made by Vanilla Beane. The hat is circular with a rounded peak and constructed by layering a strip of fabric over itself in a wrapped design. The base of the fabric is a light green while the pile is a darker green, giving the hat a two-tone appearance. The interior is supported by a molded buckram form to which the exterior of the hat has been sewn.",velveteen on buckram,Hats,Black Enterprise
