imageUrl,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant
https://ids.si.edu/ids/deliveryService?id=NMAH-ET2016-02632.jpg,33.73,86.85,41.76,#c7760e,#a07957,#812e0d,#4b4639,#dda752
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05482.jpg,27.59,36.40,46.86,#a3744c,#91806f,#543722,#583e2c,#ecdcd4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05479.jpg,38.63,59.35,50.00,#cb9533,#9c8763,#694d1a,#654831,#e6cc9d
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05472.jpg,0.00,6.35,50.00,#877777,#94836e,#463e3e,#393734,#c0b8b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05463.jpg,32.00,46.67,44.12,#a5743c,#ae8459,#633e22,#514136,#fce4ac
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05459.jpg,29.01,37.76,52.75,#b48559,#a07d57,#612b23,#4d3930,#f4e4e3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05452.jpg,23.08,54.17,37.65,#94542c,#7c674e,#775232,#463d37,#dcccb4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05448.jpg,0.00,13.56,50.00,#906e6e,#a28577,#4b3939,#4a4542,#c5b3b3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05444.jpg,25.85,54.62,50.00,#c57539,#a47e62,#5c371b,#5e4a39,#ece4d4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05440.jpg,26.25,11.94,50.00,#8e7d70,#8f847b,#4a413a,#4c4038,#c4bbb4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05435.jpg,38.18,33.85,50.00,#aa8b54,#96826c,#58482b,#3d3228,#d3c2a6
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05429.jpg,21.60,26.32,50.00,#a1765d,#8c745c,#533d30,#47423e,#ceb7ab
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05408.jpg,0.00,6.35,50.00,#877777,#8d6b46,#463e3e,#573f2f,#c0b8b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05403.jpg,21.67,40.00,50.00,#b2714c,#8f7f6e,#3f281b,#483c35,#fcecec
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05391.jpg,33.60,49.02,50.00,#be8741,#8e7865,#624621,#634c3c,#e5cfb3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05385.jpg,12.73,38.37,33.73,#774335,#835f4a,#5b3328,#453029,#d6aea3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05380.jpg,30.28,42.29,49.61,#b47f49,#86684c,#483213,#3f5630,#f4e4e4
