id,title,date,guid,name,objectType,physicalDescription,place,setName,topic
ld1-1643398775873-1643398783266-1,"Silicea., 12X",1975,http://n2t.net/ark:/65665/ng49ca746a9-ca30-704b-e053-15f76fa0b4fa,['Boericke & Tafel'],"['Homeopathic Preparation, Bottle of', 'Homeopathic Preparation, Bottle of; Pharmaceutical; Tablet Triturate']","['inpure flint (overall material)', 'overall: 13.1 cm x 4.2 cm x 4.2 cm; 5 5/32 in x 1 21/32 in x 1 21/32 in']","['United States: Pennsylvania, Philadelphia']",['Medicine and Science: Medicine'],
ld1-1643399055209-1643399069703-0,"Antiseptic, Hydragyrichloridum corrosivum",,http://n2t.net/ark:/65665/ng49ca746a0-de00-704b-e053-15f76fa0b4fa,['Bristol-Myers Squibb Company'],"['pharmaceutical', 'Drugs']","['overall: 15.8 cm x 6.59 cm; 6 1/4 in x 2 5/8 in', 'overall: 6 1/4 in x 2 5/8 in; 15.875 cm x 6.6675 cm']",,['Medicine and Science: Medicine'],
ld1-1643399055209-1643399080624-1,"Lorophyn, Suppositories",,http://n2t.net/ark:/65665/ng49ca746a5-66bb-704b-e053-15f76fa0b4fa,,"['contraceptive', 'suppositories', '?; Prescription Medicines; Drugs']",['overall: 2 5/8 in x 3 1/4 in x 1 5/8 in; 6.6675 cm x 8.255 cm x 4.1275 cm'],"['United States: New York, Norwich']",['Medicine and Science: Medicine'],"['Birth Control/Contraception', ""Women's Health""]"
ld1-1643399055209-1643399080585-0,"Pepto-Bismol, 4 Fl Oz",ca 1961,http://n2t.net/ark:/65665/ng49ca746a5-6b5a-704b-e053-15f76fa0b4fa,['Norwich Pharmacal Company'],"['otc preparation', '?; Patent Medicines; Drugs']",['overall: 7 5/8 in x 4 5/8 in x 1 7/8 in; 19.3675 cm x 11.7475 cm x 4.7625 cm'],"['United States: New York, Norwich']","['Medicine and Science: Medicine', 'Balm of America']",
ld1-1643399486815-1643399518589-1,Pituitrin (Surgical),,http://n2t.net/ark:/65665/ng49ca746a5-66a9-704b-e053-15f76fa0b4fa,"['Parke, Davis and Company']","['Pituitrin (Surgical)', 'pharmaceutical', 'Pituitrin (Surgical); Pharmaceuticals; Drugs; Liquid']",['overall: 2 in x 3/8 in; 5.08 cm x .9525 cm'],"['United States: Michigan, Detroit']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398783111-0,"Mercurius Dulc., 3X",1975,http://n2t.net/ark:/65665/ng49ca746a6-a3a9-704b-e053-15f76fa0b4fa,['Boericke & Tafel'],"['Homeopathic Preparation, Bottle of', 'Homeopathic Preparation, Bottle of; Pharmaceutical; Tablet Triturates']",['overall: 12 cm x 4.3 cm x 4.3 cm; 4 23/32 in x 1 11/16 in x 1 11/16 in'],"['United States: Pennsylvania, Philadelphia']",['Medicine and Science: Medicine'],
ld1-1643399414441-1643399469217-0,"Syringe Kit, Hypodermic",,http://n2t.net/ark:/65665/ng49ca746a5-591c-704b-e053-15f76fa0b4fa,['A.A. Mellier'],"['Syringe Kit', 'syringe kit']","['glass (bottle material)', 'glass (barrel material)', 'metal, steel (plunger material)', 'metal, steel (tip, screw material)', 'overall: 7/8 in x 3 1/2 in x 1 3/4 in; 2.2225 cm x 8.89 cm x 4.445 cm']","['United States: Missouri, St. Louis']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398786630-0,"Ferrous Sulphate, Enseals, 5 grs.",ca 1946,http://n2t.net/ark:/65665/ng49ca746a5-52ec-704b-e053-15f76fa0b4fa,['Eli Lilly and Company'],"['Ferrous Sulfate', 'Ferrous Sulfate; Vitamins; Pharmaceuticals; Drugs']",['overall: 4 7/8 in x 1 15/16 in x 1 1/8 in; 12.3825 cm x 4.92125 cm x 2.8575 cm'],"['United States: Indiana, Indianapolis']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398785228-1,Barbital (Acid Diethylbarbituric) Veronal,,http://n2t.net/ark:/65665/ng49ca746b3-b628-704b-e053-15f76fa0b4fa,['Merck and Company'],['pharmaceutical'],,"['United States: New Jersey, Rahway']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398786330-0,"Ferros Sulfate, U.S.P.",1938,http://n2t.net/ark:/65665/ng49ca746a5-92a5-704b-e053-15f76fa0b4fa,"['Parke, Davis and Company']","['Ferros Sulfate, U.S.P.', 'ferrous sulfate, u.s.p.', 'pharmaceutical', 'Ferros Sulfate, U.S.P.; Pharmaceuticals; Drugs; Non-Liquid']",['overall: 3 1/2 in x 1 1/2 in x 1 1/2 in; 8.89 cm x 3.81 cm x 3.81 cm'],"['United States: Michigan, Detroit']",['Medicine and Science: Medicine'],
